variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
alloc,1000000,100,brk,3,2.8e-05,0.1,0.03,0.28,9.333333333333334,3e-06,2.8e-05
alloc,1000000,100,clone3,1,0.000131,0.47,0.01,1.31,131.0,1e-06,0.000131
alloc,1000000,100,close,5,8.5e-05,0.31,0.05,0.85,17.0,5e-06,8.5e-05
alloc,1000000,100,execve,1,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
alloc,1000000,100,faccessat,1,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
alloc,1000000,100,fstat,6,0.000222,0.8,0.06,2.22,37.0,6e-06,0.000222
alloc,1000000,100,futex,103,0.025054,90.11,1.03,250.54,243.24271844660194,0.000103,0.025054
alloc,1000000,100,getrandom,1,1.6e-05,0.06,0.01,0.16,16.0,1e-06,1.6e-05
alloc,1000000,100,ioctl,1,0.00079,2.84,0.01,7.9,790.0,1e-06,0.00079
alloc,1000000,100,madvise,1,5.3e-05,0.19,0.01,0.53,53.0,1e-06,5.3e-05
alloc,1000000,100,mmap,21,0.000527,1.9,0.21,5.27,25.095238095238095,2.1e-05,0.000527
alloc,1000000,100,mprotect,10,0.000207,0.74,0.1,2.07,20.7,1e-05,0.000207
alloc,1000000,100,munmap,10,0.000327,1.18,0.1,3.27,32.7,1e-05,0.000327
alloc,1000000,100,openat,5,9.7e-05,0.35,0.05,0.97,19.4,5e-06,9.7e-05
alloc,1000000,100,pread64,2,3e-05,0.11,0.02,0.3,15.0,2e-06,3e-05
alloc,1000000,100,prlimit64,1,1.5e-05,0.05,0.01,0.15,15.0,1e-06,1.5e-05
alloc,1000000,100,read,4,7.1e-05,0.26,0.04,0.71,17.75,4e-06,7.1e-05
alloc,1000000,100,rseq,1,1.6e-05,0.06,0.01,0.16,16.0,1e-06,1.6e-05
alloc,1000000,100,rt_sigaction,1,2.1e-05,0.08,0.01,0.21,21.0,1e-06,2.1e-05
